Entity,Code,Year,Coal Consumption (terawatt-hours)
Africa,,1965,335.5804017
Africa,,1966,331.3610134
Africa,,1967,341.0004713
Africa,,1968,355.3938574
Africa,,1969,357.4942115
Africa,,1970,367.9580227
Africa,,1971,388.7173087
Africa,,1972,392.4315632
Africa,,1973,414.9010834
Africa,,1974,432.1318495
Africa,,1975,459.0673103
Africa,,1976,481.936906
Africa,,1977,492.9118584
Africa,,1978,477.9242129
Africa,,1979,504.5475597
Africa,,1980,543.8799627
Africa,,1981,636.1899733
Africa,,1982,702.5608991
Africa,,1983,710.0347805
Africa,,1984,762.6058884
Africa,,1985,787.1658894
Africa,,1986,805.3560964
Africa,,1987,828.3197323
Africa,,1988,890.1608048
Africa,,1989,835.6208618
Africa,,1990,877.8098615
Africa,,1991,853.1945685
Africa,,1992,858.3007482
Africa,,1993,871.6152064
Africa,,1994,894.1687307
Africa,,1995,921.8028401
Africa,,1996,934.5518385
Africa,,1997,958.3213992
Africa,,1998,936.3072787
Africa,,1999,965.48062
Africa,,2000,963.2739151
Africa,,2001,975.5876621
Africa,,2002,934.1009274
Africa,,2003,1016.712642
Africa,,2004,1118.289999
Africa,,2005,1038.031248
Africa,,2006,1052.766009
Africa,,2007,1070.183712
Africa,,2008,1179.48391
Africa,,2009,1174.427544
Africa,,2010,1164.143081
Africa,,2011,1144.633399
Africa,,2012,1116.085946
Africa,,2013,1130.637936
Africa,,2014,1184.523054
Africa,,2015,1136.025293
Africa,,2016,1152.615581
Africa,,2017,1135.391327
Africa,,2018,1179.698413
Algeria,DZA,1965,0.8141
Algeria,DZA,1966,0.79084
Algeria,DZA,1967,0.60476
Algeria,DZA,1968,0.63965
Algeria,DZA,1969,0.8141
Algeria,DZA,1970,0.96529
Algeria,DZA,1971,0.26749
Algeria,DZA,1972,0.2326
Algeria,DZA,1973,0.26749
Algeria,DZA,1974,0.22097
Algeria,DZA,1975,0.27912
Algeria,DZA,1976,0.54661
Algeria,DZA,1977,0.70943
Algeria,DZA,1978,0.36053
Algeria,DZA,1979,0.83736
Algeria,DZA,1980,0.74432
Algeria,DZA,1981,0.52335
Algeria,DZA,1982,9.71105
Algeria,DZA,1983,8.66435
Algeria,DZA,1984,9.60638
Algeria,DZA,1985,10.02506
Algeria,DZA,1986,10.29255
Algeria,DZA,1987,12.30454
Algeria,DZA,1988,11.57185
Algeria,DZA,1989,9.78083
Algeria,DZA,1990,7.66417
Algeria,DZA,1991,7.9084
Algeria,DZA,1992,9.39704
Algeria,DZA,1993,7.65254
Algeria,DZA,1994,7.2106
Algeria,DZA,1995,7.2106
Algeria,DZA,1996,3.39596
Algeria,DZA,1997,5.95456
Algeria,DZA,1998,6.37324
Algeria,DZA,1999,6.82681
Algeria,DZA,2000,5.64055
Algeria,DZA,2001,6.5128
Algeria,DZA,2002,8.54805
Algeria,DZA,2003,7.04778
Algeria,DZA,2004,8.40849
Algeria,DZA,2005,6.90822
Algeria,DZA,2006,10.25766
Algeria,DZA,2007,8.80391
Algeria,DZA,2008,8.80391
Algeria,DZA,2009,5.65218
Algeria,DZA,2010,3.6053
Algeria,DZA,2011,3.19825
Algeria,DZA,2012,3.39596
Algeria,DZA,2013,1.83754
Algeria,DZA,2014,2.08177
Algeria,DZA,2015,1.54679
Algeria,DZA,2016,0.56987
Algeria,DZA,2017,2.11666
Algeria,DZA,2018,2.11666
Argentina,ARG,1965,8.455049187
Argentina,ARG,1966,6.971818299
Argentina,ARG,1967,7.840396989
Argentina,ARG,1968,7.619035275
Argentina,ARG,1969,9.122169996
Argentina,ARG,1970,11.72259838
Argentina,ARG,1971,10.27754203
Argentina,ARG,1972,8.651294899
Argentina,ARG,1973,9.496521979
Argentina,ARG,1974,11.82592186
Argentina,ARG,1975,11.51094029
Argentina,ARG,1976,11.64258521
Argentina,ARG,1977,11.00850308
Argentina,ARG,1978,13.41919536
Argentina,ARG,1979,12.50167383
Argentina,ARG,1980,11.14458963
Argentina,ARG,1981,10.56046721
Argentina,ARG,1982,10.66607615
Argentina,ARG,1983,9.679963225
Argentina,ARG,1984,7.185223694
Argentina,ARG,1985,10.59960576
Argentina,ARG,1986,12.10934933
Argentina,ARG,1987,13.43967278
Argentina,ARG,1988,13.77234964
Argentina,ARG,1989,14.90276818
Argentina,ARG,1990,12.26613219
Argentina,ARG,1991,10.79401248
Argentina,ARG,1992,12.16816364
Argentina,ARG,1993,8.06998722
Argentina,ARG,1994,7.06510699
Argentina,ARG,1995,7.414152414
Argentina,ARG,1996,7.766816144
Argentina,ARG,1997,6.127714017
Argentina,ARG,1998,8.237409362
Argentina,ARG,1999,9.885469541
Argentina,ARG,2000,7.512647303
Argentina,ARG,2001,6.15685228
